sku,name,erp_sku,erp_name
,,False,sample
,,QCFC,Club Folding Chair
UMCS35H2A,Siesta2 Cantilever Round Umbrella - 3.5m diameter,,
,,FSWPSCSL,Sussex Companion Seat - Soft White with Lime Cushions
,,FSBFWF,Windsor Footrest (no cushion) 
1FSPRKMTSRW_1FSPRKMCEW_1FSPRKMCOW_1FSPRKMTSLW_1FSPRKLAW_1FSPRKQC,Kingston Modular Garden Sofa Set H - 6 Piece,,
PCHR76,Christa Floor Decor - 76cm,,
1FSPRKMTSRW_1FSPRKMCEW_1FSPRKMCOW_2FSPRKMDCEW_1FSPRKMTSLW_1FSPRK,Kingston Modular Garden Sofa Set E - 8 Piece,,
1FSWPSDT7_2FSWPSA_8FSWPSDC,220cm Sussex Dining Table with 2 Sussex Dining Armchairs & 8 Sussex Dining Chairs - Soft White,,
1FSPRKMTSRW_3FSPRKMDCEW_1FSPRKMCOW_1FSPRKMTSLW_1FSPRKLCT,Kingston Modular Garden Sofa Set P - 7 Piece,,
A039,Square Stainless Steel Fire Pit 30 inch (76cm),,
1FSPRBRT4_4FSPROA,110cm Bali Round Table with 4 Ohio Dining Armchairs,,
,,1FSPRBOT7_2FSPROAWG_8FSPRODCWG,230cm Bali Oval Table with 2 Ohio Dining Armchairs and 8 Ohio Dining Chairs with Waterproof Grey Cushions 
PVAN0151,Vanuatu Vase - 51cm,,
,,FSBFWLAWB,Windsor Lounge Armchair with waterproof cushions 
,,FSBFWS,Windsor Sofa (no cushion)
,,1FSPRVSSWB_1FSPRBST,Valentine Single Sunbed with Beige Waterproof Cushions & Brighton Side Table
,,1FSMPSOT9_8FSMPSAB,270cm Sussex Oval Table with 8 Sussex Dining Armchairs - Mocha
,,CYWORMSF,Spare Cushions for Mayfair Sofa
,,FSBFTMFW,Windsor (Tilbury) Modular Footstool with Cushion
1FSWPSOT6_6FSWPSA,Sussex Oval Table - 180cm & 6 Sussex Dining Armchairs  - Soft White,,
,,CYWORMSL,Spare Cushions for Mayfair Sun Lounger
,,1FSPRBOT11_12FSPROAS ,330cm Bali Oval Table with 12 Ohio Dining Armchairs with Standard Grey Cushions
,,1FSPRKMTSRWG_1FSPRKMTSLWG_1FSPRKMCOWG_1FSPRKMCEWG_1FSPRKSCT,Kingston Modular Sofa Set B with Grey Waterproof Cushions
,,CFSBFDSSWB,Waterproof Beige Cushion for Windsor (Dover) Stacking Sunbed 
,,CFSCSAB,"Beige Stacking Armchair Cushion - for  Richmond, Sussex or Dover"
,,1FSPRKMTSRWB_1FSPRKMCEWB_1FSPRKMCOWB_1FSPRKMDCEWB_1FSPRKMTSLWB_1,Kingston Modular Sofa Set F with Beige Waterproof Cushions
,,1FSBFES_2FSBFELA_1FSBFECT_1FSBFEF,"Eton Sofa, 2 Lounge Armchairs, Coffee Table & Footrest"
,,1FSPRKS3WB_1FSPRKLCT,Kingston Three Seater Sofa with beige waterproof cushions and Kingston Large Coffee table
,,1FSAOPLABG_1FSAOPFBG,Paddock Lounge Armchair with Paddock Footrest & Beige Cushions
,,1FSBFES_2FSBFELA_1FSBFECT_1FSBFEF_1FSBFEST,"Eton Sofa, 2 Lounge Armchairs, Coffee Table, Side Table & Footrest"
,,FSBFTMCOWB,Windsor (Tilbury) Modular Corner/End with Cushions
,,1FSPRKS2WB_2FSPRKLAWB_1FSPRKSCT,Kingston Two seater sofa and Two Kingston Lounge Armchair with beige waterproof cushions and Kingston Small Coffee table
,,1FSWPSOT9_2FSWPSAL_10FSWPSDCL,"270cm Sussex Oval Soft White Table with 2 Sussex Dining Armchairs, 10 Dining Chairs & Lime Green Cushions"
1FSMPSRT4_6FSMPSDC,120cm Sussex Round Table with 6 Sussex Dining Chairs - Mocha,,
